,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
3637,Tata Indica Vista TDI LX,2012,140000,185000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,135.4Nm@ 2500rpm,5
3638,Maruti Swift VXI,2019,550000,40000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113Nm@ 4200rpm,5
3639,Renault KWID 1.0 RXT Optional,2017,300000,30000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91Nm@ 4250rpm,5
3640,Tata Indigo CS eLX BS IV,2011,150000,120000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,140Nm@ 1800-3000rpm,5
3641,Maruti Wagon R VXI BS IV,2011,229999,500000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90Nm@ 3500rpm,5
3642,Mahindra Scorpio Intelli Hybrid S6 Plus,2017,880000,46000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,280Nm@ 1800-2800rpm,7
3643,Toyota Fortuner 3.0 Diesel,2011,900000,120000,Diesel,Individual,Manual,First Owner,11.5,2982,171.0,343Nm@ 1400-3400rpm,7
3644,Mahindra Scorpio S2 9 Seater,2015,720000,80000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,200Nm@ 1400-2200rpm,9
3645,Hyundai i20 Magna 1.4 CRDi,2016,550000,90000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
3646,Mahindra Scorpio S2 9 Seater,2015,720000,90000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,200Nm@ 1400-2200rpm,9
3648,Maruti Swift VDI BSIV,2016,535000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190Nm@ 2000rpm,5
3649,Hyundai Xcent 1.1 CRDi Base,2015,320000,91000,Diesel,Individual,Manual,Third Owner,24.4,1120,71.0,180.4Nm@ 1750-2500rpm,5
3650,Hyundai i20 Sportz Option 1.4 CRDi,2015,500000,90000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
3651,Maruti Ertiga VDI,2014,525000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200Nm@ 1750rpm,7
3652,Renault KWID 1.0 RXT BSIV,2019,220000,90000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91Nm@ 4250rpm,5
3653,Tata Tiago 1.2 Revotron XT,2018,350000,50000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114Nm@ 3500rpm,5
3654,Mahindra TUV 300 mHAWK100 T8,2016,530000,60000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240Nm@ 1600-2800rpm,7
3655,Maruti Alto 800 LXI,2013,215000,35000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
3656,Volkswagen Vento Diesel Highline,2012,335000,100000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,250Nm@ 1500-2500rpm,5
3657,Hyundai Xcent 1.1 CRDi Base,2015,320000,90000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,180.4Nm@ 1750-2500rpm,5
3658,Ford Figo Diesel LXI,2011,135000,120000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,160Nm@ 2000rpm,5
3659,Maruti A-Star Vxi,2009,175000,95000,Petrol,Individual,Manual,Second Owner,19.0,998,66.1,90Nm@ 3500rpm,5
3660,Mahindra Bolero 2011-2019 ZLX,2017,800000,35000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
3661,Tata Indica GLS BS IV,2007,78000,38000,Petrol,Individual,Manual,Second Owner,15.3,1193,65.3,102Nm@ 2600rpm,5
3662,Honda City i VTEC VX,2014,565000,56000,Petrol,Individual,Manual,Second Owner,17.4,1497,117.3,145Nm@ 4600rpm,5
3663,Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017,575000,50000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
3664,Hyundai EON Era Plus,2014,170000,70000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3665,Maruti Alto 800 VXI,2014,250999,30000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
3666,Mahindra XUV500 W10 2WD,2015,950000,188000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330Nm@ 1600-2800rpm,7
3667,Honda City i VTEC E,2014,650000,60000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,145Nm@ 4600rpm,5
3668,Tata Safari Storme EX,2013,550000,133000,Diesel,Individual,Manual,First Owner,14.0,2179,138.1,320Nm@ 1700-2700rpm,7
3669,Toyota Innova 2.5 E Diesel PS 7-Seater,2010,650000,160000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7
3670,Mahindra XUV500 W8 4WD,2013,800000,150000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7
3671,Maruti Alto 800 VXI,2020,250999,30000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,69Nm@ 3500rpm,5
3672,Maruti Alto 800 LXI,2013,170000,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69Nm@ 3500rpm,5
3673,Tata Indigo CS LE (TDI) BS-III,2013,250000,30000,Diesel,Individual,Manual,First Owner,19.09,1396,69.0,135Nm@ 2500rpm,5
3674,Chevrolet Enjoy Petrol LS 7 Seater,2014,312000,80000,Petrol,Individual,Manual,First Owner,13.7,1399,98.82,131Nm@ 4400rpm,7
3675,Maruti Alto 800 LXI,2014,250000,20000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69Nm@ 3500rpm,5
3676,Hyundai EON Magna Plus,2013,200000,80000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3677,Mahindra Scorpio S2 7 Seater,2016,670000,73000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,200Nm@ 1400-2200rpm,7
3678,Hyundai EON D Lite Plus,2017,270000,50000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3679,Mahindra Bolero 2011-2019 SLX,2012,360000,200000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
3680,Maruti Swift VDI,2018,630000,46000,Diesel,Individual,Manual,First Owner,28.4,1248,74.0,190Nm@ 2000rpm,5
3682,Mahindra Supro LX 8 Str,2018,400000,50000,Diesel,Individual,Manual,First Owner,23.5,909,45.0,98Nm@ 1600-3000rpm,8
3688,Maruti XL6 Alpha,2019,1000000,15000,Petrol,Individual,Manual,First Owner,19.01,1462,103.2,138nm@ 4400rpm,6
3689,Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,2017,650000,44000,Diesel,Dealer,Manual,First Owner,23.65,1248,88.5,200Nm@ 1750rpm,5
3697,Maruti Ritz VDi,2010,217000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,113Nm@ 4500rpm,5
3701,Maruti Swift ZXI,2012,280000,70000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,114Nm@ 4000rpm,5
3702,Ford Classic 1.6 Duratec LXI,2013,350000,90000,Petrol,Individual,Manual,First Owner,14.09,1596,99.6,146Nm@ 3400rpm,5
3703,Mahindra XUV500 W10 2WD,2017,1150000,42000,Diesel,Individual,Manual,Second Owner,16.0,2179,140.0,330Nm@ 1600-2800rpm,7
3704,Hyundai Grand i10 Magna,2016,420000,30000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,114Nm@ 4000rpm,5
3705,Maruti Ciaz 1.4 Alpha,2017,810000,80000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,130Nm@ 4000rpm,5
3706,Hyundai i20 1.2 Sportz,2011,290000,90000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5
3707,Chevrolet Beat LT,2012,180000,60000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,108Nm@ 4400rpm,5
3708,Maruti Eeco 5 Seater AC BSIV,2010,160000,162000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101Nm@ 3000rpm,5
3709,Tata Nano XE,2017,66000,70000,Petrol,Individual,Manual,Third Owner,23.9,624,37.48,51Nm@ 4000rpm,4
3710,Maruti Wagon R Stingray VXI,2015,369000,20000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,90Nm@ 3500rpm,5
3711,Tata New Safari DICOR 2.2 VX 4x2 BS IV,2012,300000,80000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,320Nm@ 1700-2700rpm,7
3712,Mahindra Bolero PLUS AC,2008,350000,90000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7
3713,Hyundai i10 Asta Sunroof AT,2008,220000,120000,Petrol,Individual,Automatic,Second Owner,19.2,1197,80.0,"11.4@ 4,000(kgm@ rpm)",5
3714,Chevrolet Tavera B3 LT L1 10 Seats BSIII,2005,160000,220000,Diesel,Individual,Manual,First Owner,14.8,2499,80.0,"19@ 1,800(kgm@ rpm)",10
3715,Maruti Swift Ldi BSIV,2009,221000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,190Nm@ 2000rpm,5
3716,Tata Zest Revotron 1.2 XT,2017,400000,35000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,140Nm@ 1500-4000rpm,5
3717,Toyota Camry V4 (MT),2004,250000,120000,Petrol,Individual,Manual,Second Owner,13.4,2362,164.7,224Nm@ 4000rpm,5
3718,Mahindra Bolero DI BSIII,2011,390000,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7
3719,Maruti Eeco 5 Seater AC BSIV,2012,190000,110000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101Nm@ 3000rpm,5
3720,Renault KWID RXT,2017,300000,60000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5
3721,Hyundai i20 1.4 Asta Dual Tone,2017,750000,27000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
3722,Maruti Swift Dzire VDI,2016,650000,50000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190Nm@ 2000rpm,5
3723,Honda Amaze i-VTEC Privilege Edition,2018,635000,40000,Petrol,Individual,Manual,First Owner,17.8,1198,86.7,109Nm@ 4500rpm,5
3724,Hyundai Verna 1.6 SX,2013,520000,88000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5
3725,Mahindra Scorpio S11 4WD BSIV,2020,1500000,50000,Diesel,Individual,Manual,First Owner,16.36,2179,140.0,320Nm@ 1500-2800rpm,7
3726,Hyundai Verna 1.6 SX CRDi (O),2012,415000,80000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5
3727,Hyundai Elite i20 Diesel Sportz,2019,700000,60000,Diesel,Individual,Manual,First Owner,22.54,1396,88.76,219.66nm@ 1500-2750rpm,5
3728,Maruti Swift LXI,2017,484999,26000,Petrol,Individual,Manual,Second Owner,21.21,1197,81.8,113Nm@ 4200rpm,5
3729,Ford Fiesta 1.4 Durasport EXI,2007,120000,80000,Petrol,Individual,Manual,Second Owner,16.6,1388,68.0,"16.3@ 2,000(kgm@ rpm)",5
3730,Hyundai EON Era Plus,2014,220000,60000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3731,Hyundai i10 Magna,2014,320000,80000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5
3732,Maruti Swift VDI,2011,375000,90000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190Nm@ 2000rpm,5
3733,Hyundai Verna 1.6 SX CRDi (O),2012,440000,80000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5
3734,Hyundai Grand i10 1.2 Kappa Magna AT,2019,550000,15000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,113.75nm@ 4000rpm,5
3735,Maruti Swift ZDI BSIV,2017,640000,35000,Diesel,Individual,Manual,Second Owner,25.2,1248,74.0,190Nm@ 2000rpm,5
3736,Toyota Etios GD,2014,420000,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,170Nm@ 1800-2400rpm,5
3737,Hyundai Grand i10 CRDi Sportz,2016,330000,63000,Diesel,Individual,Manual,Third Owner,24.0,1120,70.0,160Nm@ 1500-2750rpm,5
3738,Volkswagen Ameo 1.5 TDI Highline Plus,2019,800000,25000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,250Nm@ 1500-3000rpm,5
3739,Maruti Wagon R LXI BS IV,2011,240000,64500,Petrol,Individual,Manual,First Owner,18.9,998,67.1,90Nm@ 3500rpm,5
3740,Mahindra KUV 100 mFALCON D75 K2 Plus,2016,360000,100000,Diesel,Individual,Manual,Second Owner,25.32,1198,77.0,190Nm@ 1750-2250rpm,6
3741,Hyundai Verna 1.6 CRDi SX,2017,750000,40000,Diesel,Individual,Manual,First Owner,23.9,1582,126.2,259.9Nm@ 1900-2750rpm,5
3742,Hyundai i20 1.2 Magna Executive,2017,570000,15000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5
3743,Toyota Etios Liva GD,2015,450000,25000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,170Nm@ 1800-2400rpm,5
3744,Maruti Ritz LXi,2016,270000,82000,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,114Nm@ 4000rpm,5
3745,Maruti Ertiga VDI,2012,459999,87000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200Nm@ 1750rpm,7
3746,Maruti Alto K10 VXI,2015,240000,80000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,90Nm@ 3500rpm,5
3747,Renault Duster 110PS Diesel RxZ,2012,320000,110000,Diesel,Individual,Manual,Third Owner,19.01,1461,108.45,248Nm@ 2250rpm,5
3748,Tata Manza Aura (ABS) Quadrajet BS IV,2011,149000,148000,Diesel,Individual,Manual,Second Owner,21.12,1248,88.8,200Nm@ 1750-3000rpm,5
3749,Mahindra Scorpio S11 BSIV,2018,1500000,40000,Diesel,Individual,Manual,First Owner,16.36,2179,140.0,320Nm@ 1500-2800rpm,7
3750,Hyundai Accent Executive,2011,180000,70000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,124.6Nm@ 3500rpm,5
3751,Hyundai Santro Xing GLS LPG,2012,185000,70000,LPG,Individual,Manual,Second Owner,13.45,1086,62.1,96.1Nm@ 3000rpm,5
3752,Maruti 800 AC,2008,65000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59Nm@ 2500rpm,4
3753,Tata Indigo LX,2010,130000,120000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,"13.5@ 2,500(kgm@ rpm)",5
3754,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,330000,60000,Diesel,Individual,Manual,First Owner,17.8,1399,67.0,160Nm@ 2000rpm,5
3755,Tata Manza Aura (ABS) Quadrajet,2011,190000,90000,Diesel,Dealer,Manual,First Owner,18.8,1248,90.0,200Nm@ 1750-3000rpm,5
3756,Maruti Swift VDI,2014,501000,68000,Diesel,Dealer,Manual,First Owner,22.9,1248,74.0,190Nm@ 2000rpm,5
3757,Honda Amaze S i-DTEC,2017,600000,24500,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,200Nm@ 1750rpm,5
3758,Mahindra XUV500 W8 4WD,2012,570000,77000,Diesel,Dealer,Manual,Second Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7
3759,Honda Amaze VX O iDTEC,2015,450000,85000,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,200Nm@ 1750rpm,5
3760,Toyota Etios 1.5 V,2011,285000,45500,Petrol,Dealer,Manual,First Owner,16.78,1496,88.73,132Nm@ 3000rpm,5
3761,Maruti Swift VDI,2014,490000,67000,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,190Nm@ 2000rpm,5
3762,Maruti Swift VDI,2014,500000,77000,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,190Nm@ 2000rpm,5
3763,Hyundai EON Magna Plus,2016,275000,47000,Petrol,Dealer,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3764,Tata Tiago XT,2017,440000,57000,Petrol,Dealer,Manual,First Owner,23.84,1199,84.48,113Nm@ 3300rpm,5
3765,Hyundai i20 1.4 Asta Option,2018,825000,71500,Diesel,Dealer,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
3766,Toyota Etios Liva 1.4 GD,2012,411000,110000,Diesel,Dealer,Manual,First Owner,23.59,1364,67.04,170Nm@ 1800-2400rpm,5
3767,Maruti Swift Dzire VDI,2013,470000,82000,Diesel,Dealer,Manual,Second Owner,26.59,1248,74.0,190Nm@ 2000rpm,5
3768,Maruti Swift VDI,2013,445000,70000,Diesel,Dealer,Manual,Second Owner,28.4,1248,74.0,190Nm@ 2000rpm,5
3769,Maruti Baleno Zeta Diesel,2017,752000,28000,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,190Nm@ 2000rpm,5
3770,Skoda Rapid 1.5 TDI Style Plus Black Package,2016,650000,125000,Diesel,Dealer,Manual,Second Owner,21.14,1498,103.52,250Nm@ 1500-2500rpm,5
3771,Maruti Swift VDI,2013,450000,67000,Diesel,Dealer,Manual,Second Owner,28.4,1248,74.0,190Nm@ 2000rpm,5
3772,Honda City 1.5 V MT,2011,350000,93500,Petrol,Dealer,Manual,Third Owner,17.0,1497,118.0,146Nm at 4800 rpm,5
3773,Maruti Swift VVT VXI,2012,511000,8500,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113Nm@ 4200rpm,5
3774,Maruti Baleno Zeta 1.3,2016,700000,80000,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,190Nm@ 2000rpm,5
3777,Ford Fiesta 1.4 Duratec EXI Limited Edition,2007,142000,97000,Petrol,Individual,Manual,First Owner,16.6,1388,68.0,"16.3@ 2,000(kgm@ rpm)",5
3778,Tata New Safari DICOR 2.2 VX 4x2,2012,725000,90000,Diesel,Individual,Manual,First Owner,13.93,2179,138.0,320Nm@ 1700-2700rpm,7
3779,Hyundai i20 1.2 Asta Option,2017,630000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5
3780,Hyundai i20 Sportz 1.2,2015,480000,50000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5
3781,Maruti Alto K10 VXI,2016,330000,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90Nm@ 3500rpm,5
3782,Maruti Gypsy King Soft Top MPI BSIV,2017,500000,20000,Petrol,Individual,Manual,First Owner,11.96,1298,80.0,103Nm@ 4500rpm,8
3783,Volkswagen Polo Diesel Highline 1.2L,2012,300000,60300,Diesel,Individual,Manual,First Owner,22.07,1199,73.9,180Nm@ 2000rpm,5
3784,Tata Zest Quadrajet 1.3 XM,2015,400000,35000,Diesel,Individual,Manual,First Owner,23.0,1248,88.7,200Nm@ 1750-3000rpm,5
3785,Tata Safari DICOR 2.2 EX 4x2,2011,320000,80000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7
3786,Hyundai i10 Magna 1.1L,2008,180000,44391,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5
3787,Maruti Baleno Sigma 1.3,2016,530000,58000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,190Nm@ 2000rpm,5
3788,Mahindra Bolero 2011-2019 Special Edition,2015,600000,40000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
3789,Maruti Ertiga SHVS ZDI,2017,780000,66000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200Nm@ 1750rpm,7
3790,Honda City i DTec SV,2016,700000,110000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,200Nm@ 1750rpm,5
3791,Chevrolet Beat Diesel,2013,175000,56315,Diesel,Individual,Manual,First Owner,25.44,936,57.6,150Nm@ 1750rpm,5
3792,Mahindra Bolero Power Plus SLE,2017,735000,70000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,195Nm@ 1400-2200rpm,7
3793,Toyota Etios Liva GD,2013,325000,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,170Nm@ 1800-2400rpm,5
3794,Chevrolet Tavera LS B3 10 Seats BSII,2006,225000,100000,Diesel,Individual,Manual,First Owner,14.8,2499,80.0,"19@ 1,800(kgm@ rpm)",10
3795,Tata Zest Quadrajet 1.3 XM,2015,350000,90000,Diesel,Individual,Manual,Second Owner,23.0,1248,88.7,200Nm@ 1750-3000rpm,5
3796,Maruti Wagon R LXI DUO BSIII,2006,110000,120000,LPG,Individual,Manual,Third Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5
3797,Maruti Zen Estilo LXI BSIII,2007,85000,160000,Petrol,Individual,Manual,Fourth & Above Owner,18.2,998,67.1,90Nm@ 3500rpm,5
3798,Toyota Corolla AE,2006,150000,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.4,1794,125.0,"16.1@ 4,200(kgm@ rpm)",5
3799,Maruti Swift Dzire VDi,2009,225000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,190Nm@ 2000rpm,5
3800,Tata Indica Vista Terra Quadrajet 1.3L,2010,111000,100000,Diesel,Individual,Manual,Second Owner,18.0,1248,75.0,190Nm@ 1750rpm,5
3801,Maruti Wagon R VXI Minor,2007,150000,70000,Petrol,Individual,Manual,Third Owner,18.9,1061,67.0,84Nm@ 3500rpm,5
3802,Hyundai EON Era Plus,2017,300000,15151,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3803,Mahindra Scorpio 1.99 S6 Plus,2015,630000,60000,Diesel,Individual,Manual,First Owner,15.4,1997,120.0,280Nm@ 1800-2800rpm,7
3804,Hyundai i10 Era,2011,206000,100000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5
3805,Maruti Wagon R LXI,2006,70000,110000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998,67.1,90Nm@ 3500rpm,5
3806,Hyundai Grand i10 1.2 Kappa Magna AT,2019,567000,7000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,113.75nm@ 4000rpm,5
3811,Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2013,500000,70000,Petrol,Individual,Manual,Second Owner,15.85,1499,110.4,140Nm@ 4400rpm,5
3812,Hyundai Grand i10 Sportz,2015,400000,128000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,114Nm@ 4000rpm,5
3814,Toyota Innova 2.5 GX 8 STR,2012,850000,120000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8
3815,Maruti Swift VDI BSIV,2014,570000,15000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190Nm@ 2000rpm,5
3816,Maruti Swift Dzire VDI,2017,699000,60000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190Nm@ 2000rpm,5
3817,Honda Brio Exclusive Edition,2013,355000,80000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,109Nm@ 4500rpm,5
3818,Maruti Swift Dzire VDI Optional,2016,690000,80000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190Nm@ 2000rpm,5
3819,Ford Fiesta 1.4 Duratorq ZXI,2006,180000,114321,Diesel,Individual,Manual,Second Owner,17.8,1399,68.0,"16.3@ 2,000(kgm@ rpm)",5
3820,Tata Indica Vista TDI LX,2013,200000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,135.4Nm@ 2500rpm,5
3821,Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,2012,575000,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,290Nm@ 1800-2800rpm,8
3822,Toyota Etios Liva GD,2014,415000,146000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,170Nm@ 1800-2400rpm,5
3823,Hyundai i10 Magna LPG,2012,350000,30000,LPG,Individual,Manual,First Owner,19.2,1086,68.05,99.04Nm@ 4500rpm,5
3824,Hyundai EON D Lite Plus,2017,350000,20000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5
3825,Toyota Platinum Etios 1.4 GD,2017,632000,150000,Diesel,Individual,Manual,First Owner,23.59,1364,67.05,170Nm@ 1800-2400rpm,5
3826,Maruti Eeco CNG 5 Seater AC BSIV,2014,325000,70000,CNG,Individual,Manual,Second Owner,21.94,1196,61.7,85Nm@ 3000rpm,5
3827,Hyundai Elantra SX,2013,511000,90000,Petrol,Individual,Manual,Second Owner,16.3,1797,147.5,177.5Nm@ 4700rpm,5
3828,Honda City 1.5 V MT,2010,300000,100000,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,146Nm at 4800 rpm,5
3829,Maruti Wagon R LXI,2005,70000,188000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998,67.1,90Nm@ 3500rpm,5
3830,Hyundai i10 Sportz 1.1L,2008,180000,100000,Petrol,Individual,Manual,Third Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5
3850,Hyundai i20 1.2 Asta,2017,730000,37333,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5
3851,Maruti Ertiga VDI,2014,450000,15000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200Nm@ 1750rpm,7
3852,Hyundai Sonata 2.4 GDi MT,2012,550000,330000,Petrol,Individual,Manual,Second Owner,13.44,2359,198.25,250Nm@ 4250rpm,5
3853,Maruti Wagon R LXI CNG,2017,420000,60000,CNG,Individual,Manual,First Owner,26.6,998,58.16,77Nm@ 3500rpm,5
3854,Toyota Etios GD,2016,509999,80000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.05,170Nm@ 1800-2400rpm,5
3855,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,905000,110000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200Nm@ 1400-3400rpm,7
3857,Maruti Alto LX,2011,140000,72000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62Nm@ 3000rpm,5
3858,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2006,300000,140000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8
3859,Maruti Ritz LXi,2015,300000,80000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,114Nm@ 4000rpm,5
3860,Maruti Swift Dzire VDi,2010,225000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190Nm@ 2000rpm,5
3861,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,860000,90000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,200Nm@ 1400-3400rpm,8
3862,Renault Duster 85PS Diesel RxL Optional,2012,400000,100000,Diesel,Individual,Manual,Second Owner,20.46,1461,83.8,200Nm@ 1900rpm,5
3863,Maruti Swift Dzire LXi,2009,190000,90000,Petrol,Individual,Manual,Third Owner,17.5,1298,85.8,114Nm@ 4000rpm,5
3864,Honda Amaze VX i-DTEC,2013,350000,140000,Diesel,Individual,Manual,Third Owner,25.8,1498,98.6,200Nm@ 1750rpm,5
